käsite;käsitesuhde;lähikäsite
sormilehdykkäinen;yläkäsite;kerrannaislehti
sormilehdykkäinen;yläkäsite;lehdykkäinen
sormilehdykkäinen;;parilehdykkäinen
sormilehdykkäinen;;sormiliuskainen
sormilehdykkäinen;;kourasuoninen
sormilehdykkäinen;;kolmisorminen
sormilehdykkäinen;;jalkamainen
sormiliuskainen;yläkäsite;lehti liuskaisuuden suhteen
sormiliuskainen;yläkäsite;liuskainen
sormiliuskainen;;kourasuoninen
sormiliuskainen;;sormilehdykkäinen
sormiliuskainen;;jalkamainen
sormiliuskainen;yläkäsite;sormihalkoinen
sormiliuskainen;yläkäsite;sormijakoinen
sormiliuskainen;yläkäsite;sormiosainen
suikea;yläkäsite;lehtilavan muoto
suikea;vieruskäsite;pyöreä
suikea;vieruskäsite;soikea
suikea;vieruskäsite;pitkulainen
suikea;vieruskäsite;puikea
suikea;vieruskäsite;tasasoukka
sulkasuoninen;yläkäsite;lehtisuonitus
sulkasuoninen;;suonitus
sulkasuoninen;vieruskäsite;kourasuoninen
sulkasuoninen;vieruskäsite;silposuoninen
sulkasuoninen;vieruskäsite;verkkosuoninen
suojuslehti;yläkäsite;ylälehti
suojuslehti;yläkäsite;lehti
suojuslehti;yläkäsite;ylälehti
suojuslehti;vieruskäsite;tukilehti
suojuslehti;vieruskäsite;alalehti
suojuslehti;vieruskäsite;varuslehti
suojussuomu;yläkäsite;lehti
suojussuomu;;varuslehti
suojussuomu;;suomu
suojussuomu;yläkäsite;suojuslehti
suomu;yläkäsite;lehti
suomu;;alalehti
suomu;;suojuslehti
suomu;yläkäsite;käpysuomu
suomu;yläkäsite;silmusuomu
suomu;yläkäsite;pohjussuomu
suomulehti;yläkäsite;lehti
suomulehti;yläkäsite;lehti
suomumainen;yläkäsite;elin; lehti
suomumainen;;suomu
suomumainen;;kalvomainen
suoni;koostumussuhteinen yläkäsite;lehti
suoni;yläkäsite;sivusuoni
suoni;yläkäsite;keskisuoni
suonitus;koostumussuhteinen yläkäsite;lehti
suonitus;;silposuoninen
suonitus;;kourasuoninen
suonitus;;sulkasuoninen
suonitus;;verkkosuoninen
suonitus;;korkosuoninen
surkastunut;yläkäsite;elin; lehti
surkastunut;;kuihtuva
tasaparinen;yläkäsite;parilehdykkäinen
tasaparinen;yläkäsite;parilehdykkäinen
tasaparinen;vieruskäsite;päätöparinen
tasaparinen;vieruskäsite;vuorolehdykkäinen
tasaparinen;vieruskäsite;välilehdykkäinen
tasasoukka;yläkäsite;lehtilavan muoto
tasasoukka;;pitkulainen
tasasoukka;;soikea
tasasoukka;;suikea
tasasoukka;;puikea
tasasoukka;;pyöreä
tasasoukka;;neulasmainen
teriö;koostumussuhteinen yläkäsite;kukka
teriö;koostumussuhteinen yläkäsite;kehä
teriö;koostumussuhteinen vieruskäsite;verhiö
teriö;koostumussuhteinen alakäsite;terälehti
terälehti;yläkäsite;kukkalehti
terälehti;koostumussuhteinen yläkäsite;teriö
terälehti;yläkäsite;kehälehti
terälehti;vieruskäsite;verholehti
terälehti;koostumussuhteinen yläkäsite;teriö
terälehti;koostumussuhteinen yläkäsite;kehä
terävä;yläkäsite;lehden kärki
terävä;vieruskäsite;tylppä
toissahainen;yläkäsite;lehtilaita
toissahainen;yläkäsite;sahalaitainen
toissahainen;yläkäsite;vieruskäsite
toissahainen;;lehtilaita
tukilehti;yläkäsite;lehti
tukilehti;yläkäsite;suojuslehti
tukilehti;;silmusuomu
tuppimainen;yläkäsite;lehti
tuppimainen;;lehtituppi
tylppä;yläkäsite;lehden kärki; lehden tyvi
tylppä;vieruskäsite;terävä
tähkäsuomu;yläkäsite;lehti
tähkäsuomu;koostumussuhteinen yläkäsite;tähkä
tähkäsuomu;yläkäsite;tukilehti
tähkäsuomu;;suomu
tähkäsuomu;koostumussuhteinen yläkäsite;tähkä
ulkohelve;yläkäsite;lehti
ulkohelve;koostumussuhteinen yläkäsite;tähkylä
ulkohelve;vieruskäsite;sisähelve
ulkohelve;yläkäsite;helve
ulkosuomu;yläkäsite;lehti
ulkosuomu;koostumussuhteinen yläkäsite;mykerö
ulkosuomu;koostumussuhteinen yläkäsite;mykerö
ulkosuomu;yläkäsite;alalehti
uposlehti;yläkäsite;vesikasvin lehti
uposlehti;vieruskäsite;ilmalehti
uposlehti;vieruskäsite;kelluslehti
uposlehti;;uposlehtinen
varsilehti;yläkäsite;lehti
varsilehti;vieruskäsite;aluslehti
varsilehti;yläkäsite;kasvulehti
vastaherttamainen;yläkäsite;lehtilavan muoto
vastaherttamainen;vieruskäsite;herttamainen
vastakkainen;yläkäsite;lehtiasento
vastakkainen;;vuorottainen
vastakkainen;;kierteinen
vastakkainen;;lehtiasento
vastakkainen;yläkäsite;kiehkurainen
vastakkainen;yläkäsite;ristikkäinen
vastakolmiomainen;yläkäsite;lehtilavan muoto
vastakolmiomainen;vieruskäsite;kolmiomainen
vastapuikea;yläkäsite;lehtilavan muoto
vastapuikea;vieruskäsite;puikea
venho;yläkäsite;terälehti
venho;koostumussuhteinen yläkäsite;teriö
venho;vieruskäsite;siivet
venho;vieruskäsite;purje
venho;;perhomainen
verhiö;koostumussuhteinen yläkäsite;kehä
verhiö;koostumussuhteinen yläkäsite;kehä
verhiö;koostumussuhteinen vieruskäsite;teriö
verhiö;koostumussuhteinen alakäsite;verholehti
verholehti;yläkäsite;kukkalehti
verholehti;koostumussuhteinen yläkäsite;verhiö
verholehti;yläkäsite;kehälehti
verholehti;vieruskäsite;terälehti
verholehti;koostumussuhteinen yläkäsite;verhiö
verholehti;koostumussuhteinen yläkäsite;kehä
verkkomainen;yläkäsite;lehtisuonitus
verkkomainen;koostumussuhteinen yläkäsite;pinta
verkkomainen;;ruutuinen
verkkosuoninen;yläkäsite;lehtisuonitus
verkkosuoninen;;suonitus
verkkosuoninen;vieruskäsite;kourasuoninen
verkkosuoninen;vieruskäsite;silposuoninen
verkkosuoninen;vieruskäsite;sulkasuoninen
vesalehti;yläkäsite;lehti
vesalehti;koostumussuhteinen yläkäsite;varsi
vesalehti;koostumussuhteinen yläkäsite;vesa
vuorolehdykkäinen;yläkäsite;parilehdykkäinen
vuorolehdykkäinen;yläkäsite;parilehdykkäinen
vuorolehdykkäinen;vieruskäsite;päätöparinen
vuorolehdykkäinen;vieruskäsite;tasaparinen
vuorolehdykkäinen;vieruskäsite;välilehdykkäinen
vuorottainen;yläkäsite;lehtiasento
vuorottainen;yläkäsite;kierteinen
vuorottainen;vieruskäsite;vastakkainen
vuorottainen;vieruskäsite;säteittäinen
vuorottainen;;ruusukkeinen
vuorottainen;;lehtiasento
yhdislehtinen;yläkäsite;elin; emiö; kukka; teriö; verhiö
yhdislehtinen;;erillislehtinen
yhdislehtinen;;erillinen
yhdistynyt;yläkäsite;elin; terälehti
yhdistynyt;;erillinen
yhdistynyt;;yhdislehtinen
ylälehti;yläkäsite;lehti
ylälehti;koostumussuhteinen yläkäsite;kukinto; verso
ylälehti;;alalehti
ylälehti;;suojuslehti
ylälehti;;varuslehti
ylälehti;;tukilehti
äimämäinen;yläkäsite;lehtilavan muoto
äimämäinen;;neulasmainen
ruutu;koostumussuhteinen yläkäsite;lehti; pinta
ruutu;koostumussuhteinen yläkäsite;lehti
ruutupintainen;yläkäsite;lehti; pinta
ruutupintainen;;verkkomainen
ruutupintainen;;ruutu
suippotyvinen;yläkäsite;lehden tyvi
suippotyvinen;vieruskäsite;pitkäsuippuinen
suippotyvinen;vieruskäsite;kiilatyvinen
lehtikorvake;koostumussuhteinen yläkäsite;lehti
lehtikorvake;koostumussuhteinen yläkäsite;lehti
lehtikorvake;yläkäsite;korvake
lehtikorvakkeellinen;yläkäsite;lehti
lehtikorvakkeellinen;;lehtikorvake
lehtikorvakkeellinen;;korvakkeellinen
lehtikorvakkeellinen;;sepivä
hanka;koostumussuhteinen yläkäsite;lehti
kaksiliuskainen;yläkäsite;lehti liuskaisuuden suhteen
kaksiliuskainen;yläkäsite;liuskainen
kaksiliuskainen;vieruskäsite;kolmiliuskainen
kaksiliuskainen;;sormiliuskainen
kaksiliuskainen;;pariliuskainen
kaksiliuskainen;;kaksiosainen
toistamiseen parilehdykkäinen;yläkäsite;parilehdykkäinen
toistamiseen parilehdykkäinen;;kolmeen kertaan parilehdykkäinen
toistamiseen parilehdykkäinen;yläkäsite;parilehdykkäinen
toistamiseen parilehdykkäinen;;toistamiseen kolmisorminen
toistamiseen kolmisorminen;yläkäsite;kerrannaislehti; lehti liuskaisuuden suhteen
toistamiseen kolmisorminen;yläkäsite;kolmisorminen
toistamiseen kolmisorminen;;liuskainen
toistamiseen kolmisorminen;;kolmeen kertaan kolmisorminen
toistamiseen kolmisorminen;;toistamiseen parilehdykkäinen
esilehti;yläkäsite;lehti ikänsä suhteen
esilehti;koostumussuhteinen yläkäsite;verso
esilehti;;varuslehti
esilehti;;sirkkalehti
varuslehti;yläkäsite;lehti
varuslehti;koostumussuhteinen yläkäsite;kehä
varuslehti;yläkäsite;suojuslehti
varuslehti;;kehto
hapsiliuskainen;yläkäsite;lehti liuskaisuuden suhteen
hapsiliuskainen;vieruskäsite;kapealiuskainen
hapsiliuskainen;yläkäsite;liuskainen
kärhellinen;yläkäsite;lehti
kärhellinen;;kärhi
herttamainen;yläkäsite;lehtilavan muoto
herttamainen;;herttatyvinen
herttamainen;;vastaherttamainen
lisäteriö;yläkäsite;lehti
lisäteriö;koostumussuhteinen yläkäsite;teriö
lisäteriö;;teriö
;yläkäsite;lehti
;koostumussuhteinen yläkäsite;teriö
;koostumussuhteinen yläkäsite;lisäteriö
;yläkäsite;liuska
;koostumussuhteinen yläkäsite;lehti
;koostumussuhteinen yläkäsite;lehdykkä
;yläkäsite;keskiranka
;yläkäsite;keskisuoni
;koostumussuhteinen yläkäsite;lehti
;koostumussuhteinen yläkäsite;pikkulehdykkä
;yläkäsite;keskiranka
;yläkäsite; keskisuoni
piispansauva;yläkäsite;lehti
huppumainen;yläkäsite;lehti
huppumainen;vieruskäsite;säkkimäinen
tasakylkisen kolmiomainen;yläkäsite;lehtilavan muoto
tasakylkisen kolmiomainen;yläkäsite;kolmiomainen
tasakylkisen kolmiomainen;;kiilamainen
tasakylkisen kolmiomainen;;vastakolmiomainen
hienohampainen;yläkäsite;lehtilaita
hienohampainen;yläkäsite;hammaslaitainen
hienohampainen;;lehtilaita
uposlehtinen;yläkäsite;kasvityyppi
uposlehtinen;vieruskäsite;kelluslehtinen
uposlehtinen;vieruskäsite;irtokelluja
uposlehtinen;vieruskäsite;pohjalehtinen
uposlehtinen;;uposlehti
matalasti risalaitainen;yläkäsite;lehtilaita
matalasti risalaitainen;;risakärkinen
matalasti risalaitainen;;lehtilaita
korvakkeeton;yläkäsite;lehti
korvakkeeton;vieruskäsite;korvakkeellinen
sirppimäinen;yläkäsite;lehti
sirppimäinen;vieruskäsite;lusikkamainen
sirppimäinen;vieruskäsite;neulasmainen
sirppimäinen;vieruskäsite;pussimainen
sirppimäinen;vieruskäsite;keihäsmäinen
lehtimäinen;yläkäsite;lehti
lehtimäinen;;lehti
;yläkäsite;lehti
emiöperä;koostumussuhteinen yläkäsite;kukka
emiöperä;;siitoslehtiperä
erilaislehtinen;yläkäsite;verso
limittäinen;yläkäsite;lehti
limittäinen;;vierilaitainen
välilehdykkäinen;yläkäsite;parilehdykkäinen
välilehdykkäinen;yläkäsite;parilehdykkäinen
välilehdykkäinen;vieruskäsite;tasaparinen
välilehdykkäinen;vieruskäsite;päätöparinen
välilehdykkäinen;vieruskäsite;vuorolehdykkäinen
suojuslehtikiehkura;koostumussuhteinen yläkäsite;kukinto; kukka
suojuslehtikiehkura;;kehto
suojuslehtikiehkura;;kiehkura
säännöttömästi liuskainen;yläkäsite;lehti liuskaisuuden suhteen
säännöttömästi liuskainen;yläkäsite;liuskainen
säännöttömästi liuskainen;;taapäin liuskainen
kapealiuskainen;yläkäsite;lehti liuskaisuuden suhteen
kapealiuskainen;vieruskäsite;hapsiliuskainen
kapealiuskainen;vieruskäsite;yläkäsite
kieleke;koostumussuhteinen yläkäsite;lehti
kauna;yläkäsite;lehti
kauna;koostumussuhteinen yläkäsite;kukinto
kauna;koostumussuhteinen yläkäsite;tähkylä
kauna;;sisähelve
kauna;;helve
lyyramainen;yläkäsite;lehtilavan muoto
lyyramainen;yläkäsite;lehdykkäinen
lyyramainen;yläkäsite;liuskainen
kuihtuva;yläkäsite;elin; lehti; terälehti; verhiö
kuihtuva;;surkastunut
venemäinen;yläkäsite;lehti
venemäinen;;kölillinen
kelluslehtinen;yläkäsite;kasvityyppi
kelluslehtinen;;kelluslehti
kelluslehtinen;vieruskäsite; uposlehtinen
kelluslehtinen;vieruskäsite;irtokelluja
kelluslehtinen;vieruskäsite;pohjalehtinen
käpysuomu;yläkäsite;lehti
käpysuomu;koostumussuhteinen yläkäsite;kukinto
käpysuomu;yläkäsite;suomu
käpysuomu;koostumussuhteinen yläkäsite;käpy
sormijakoinen;yläkäsite;lehti liuskaisuuden suhteen
sormijakoinen;yläkäsite;sormiliuskainen
sormijakoinen;yläkäsite;jakoinen
sormijakoinen;vieruskäsite;sormihalkoinen
sormijakoinen;vieruskäsite;sormiosainen
sormijakoinen;;parijakoinen
sormijakoinen;;kourasuoninen
viulunmuotoinen;yläkäsite;lehtilavan muoto
viulunmuotoinen;;vastapuikea
jalkamainen;yläkäsite;lehtilavan muoto
jalkamainen;yläkäsite;sormiliuskainen
jalkamainen;;kolmisorminen
jalkamainen;;sormijakoinen
jalkamainen;;sormihalkoinen
viisiosainen;yläkäsite;lehti
kehäliuska;yläkäsite;lehti
kehäliuska;koostumussuhteinen yläkäsite;kehä
kehäliuska;;kehälehti
jaksottaisesti sahalaitainen;yläkäsite;lehtilaita
jaksottaisesti sahalaitainen;yläkäsite;sahalaitainen
jaksottaisesti sahalaitainen;vieruskäsite;ripsisahainen
jaksottaisesti sahalaitainen;vieruskäsite;toissahainen
jaksottaisesti sahalaitainen;vieruskäsite;hienosahainen
jaksottaisesti sahalaitainen;vieruskäsite;vastasahainen
jaksottaisesti sahalaitainen;vieruskäsite;nystysahainen
jaksottaisesti sahalaitainen;;lehtilaita
terälehtimäinen;yläkäsite;lehti
terälehtimäinen;;verholehti
terälehtimäinen;;suojuslehti
ruodillinen;yläkäsite;lehti
ruodillinen;;ruoti
;yläkäsite;varsi
;koostumussuhteinen yläkäsite;lehti
;;kukkaperä
;;kukintoperä
;yläkäsite;ruoti
lehdykkäinen;yläkäsite;kerrannaislehti
lehdykkäinen;yläkäsite;parilehdykkäinen
lehdykkäinen;yläkäsite;sormilehdykkäinen
pikkulehdykkä;yläkäsite;lehti
pikkulehdykkä;koostumussuhteinen yläkäsite;lehti
pikkulehdykkä;yläkäsite;lehdykkä
epätasaisen typäkkä;yläkäsite;lehden kärki
epätasaisen typäkkä;yläkäsite;typäkkä
pullistuma;koostumussuhteinen yläkäsite;lehti
pohjussuomu;yläkäsite;lehti
pohjussuomu;koostumussuhteinen yläkäsite;mykerö
pohjussuomu;koostumussuhteinen yläkäsite;pohjus
pohjussuomu;koostumussuhteinen yläkäsite;yläkäsite
matalaan mutkalaitainen;yläkäsite;lehtilaita
matalaan mutkalaitainen;yläkäsite;mutkalaitainen
matalaan mutkalaitainen;;lehtilaita
matalaan mutkalaitainen;;aaltopoimuinen
taapäin liuskainen;yläkäsite;lehtilaita
taapäin liuskainen;;vastasahainen
taapäin liuskainen;;säännöttömästi liuskainen
verholehtimäinen;yläkäsite;lehti
verholehtimäinen;vieruskäsite;terälehtimäinen
hienosahainen;yläkäsite;lehtilaita
hienosahainen;yläkäsite;sahalaitainen
hienosahainen;;lehtilaita
verso;yläkäsite;kasvin peruselin
verso;koostumussuhteinen yläkäsite;kasvi
verso;koostumussuhteinen alakäsite;lehti
verso;koostumussuhteinen alakäsite;varsi
verso;koostumussuhteinen vieruskäsite;juuri
verso;yläkäsite;ilmaverso
verso;yläkäsite;kukkaverso
verso;yläkäsite;lyhytverso
verso;yläkäsite;pitkäverso
verso;yläkäsite;peruselin
mutkalaitainen;yläkäsite;lehtilaita
mutkalaitainen;;aaltopoimuinen
mutkalaitainen;yläkäsite;matalaan mutkalaitainen
mutkalaitainen;;mutkainen
mutkalaitainen;;lehtilaita
lovi;koostumussuhteinen yläkäsite;lehti
puikelon suojuslehti;yläkäsite;lehti
puikelon suojuslehti;koostumussuhteinen yläkäsite;kukinto
puikelon suojuslehti;yläkäsite;suojuslehti
puikelon suojuslehti;yläkäsite;koostumussuhteinen yläkäsite
piikki;koostumussuhteinen yläkäsite;lehti; pinta
piikki;;sukaspiikki
piikki;;oka
piikki;;ora
itiölehti;yläkäsite;lehti
itiölehti;koostumussuhteinen alakäsite;itiöpesäke
itiölehti;yläkäsite;pikkuitiöpesäkelehti
lehdykän korvake;koostumussuhteinen yläkäsite;lehti
lehdykän korvake;yläkäsite;korvake
korvakkeellinen;yläkäsite;lehti
korvakkeellinen;vieruskäsite;korvakkeeton
korvakkeellinen;;korvake
kolmisorminen;yläkäsite;kerrannaislehti; lehti liuskaisuuden suhteen
kolmisorminen;;kolmilehdykkäinen
kolmisorminen;;kerrannaislehti
kolmiotainen;yläkäsite;lehti
kolmiotainen;yläkäsite;otapäinen
kolmiliuskainen;yläkäsite;lehti liuskaisuuden suhteen
kolmiliuskainen;yläkäsite;kolmihalkoinen
kolmiliuskainen;yläkäsite;kolmiosainen
kolmiliuskainen;yläkäsite;kolmijakoinen
kolmiliuskainen;yläkäsite;liuskainen
kolmilehtinen;yläkäsite;varsi
kolmilehtinen;;kolmilehdykkäinen
kulmikkaanpuikea;yläkäsite;lehtilavan muoto
kulmikkaanpuikea;yläkäsite;puikea
kulmikkaanpuikea;;vinoneliömäinen
typäkkä;yläkäsite;lehden kärki; lehden tyvi
typäkkä;vieruskäsite;lanttopäinen
typäkkä;vieruskäsite;keulamainen
typäkkä;vieruskäsite;terävä
typäkkä;;typäkkätyvinen
erikokoislehtisyys;;erilaislehtisyys
erilaislehtisyys;;erikokoislehtisyys
halkoinen;yläkäsite;lehti liuskaisuuden suhteen
halkoinen;vieruskäsite;jakoinen
halkoinen;vieruskäsite;osainen
halkoinen;yläkäsite;liuskainen
kilpilehti;yläkäsite;lehti
kärhilehti;yläkäsite;lehti
kärhilehti;yläkäsite;lehti
lehtiaihe;yläkäsite;lehti
lehtiaihe;;lehti
lehtikiehkura;yläkäsite;lehtiasento
lehtikiehkura;;lehtiasento
lehtimehukasvi;yläkäsite;kasvityyppi
lehtimehukasvi;;mehilehti
lehtiseuraanto;;lehti
myöhäislehti;yläkäsite;lehti ikänsä suhteen
myöhäislehti;yläkäsite;lehti
myöhäislehti;vieruskäsite;varhaislehti
myöhäislehti;vieruskäsite;aitolehti
myöhäislehti;;sirkkalehti
myöhäislehti;;esilehti
osainen;yläkäsite;lehti liuskaisuuden suhteen
osainen;yläkäsite;liuskainen
osainen;vieruskäsite;jakoinen
osainen;vieruskäsite;halkoinen
peruselin;yläkäsite;juuri
peruselin;yläkäsite;verso
peruselin;yläkäsite;lehti
peruselin;yläkäsite;varsi
peruselin;yläkäsite;kukka
pussilehti;yläkäsite;lehti
selkälehti;yläkäsite;lehti
selkälehti;vieruskäsite;vatsalehti
selkälehti;vieruskäsite;kylkilehti
sormihalkoinen;yläkäsite;lehti liuskaisuuden suhteen
sormihalkoinen;yläkäsite;sormiliuskainen
sormihalkoinen;yläkäsite;halkoinen
sormihalkoinen;vieruskäsite;sormijakoinen
sormihalkoinen;vieruskäsite;sormiosainen
sormihalkoinen;;parihalkoinen
sormihalkoinen;;kourasuoninen
tyvilehti;yläkäsite;lehti
tyvilehti;yläkäsite;lehti
tyvilehti;;varsilehti
tyvilehti;;sirkkalehti
vaippalehti;yläkäsite;lehti
vaippalehti;yläkäsite;varhaislehti
varhaislehti;yläkäsite;lehti ikänsä suhteen
varhaislehti;yläkäsite;kasvulehti
varhaislehti;vieruskäsite;aitolehti
varhaislehti;vieruskäsite;myöhäislehti
varhaislehti;;vaippalehti
erilehtinen;yläkäsite;kukka
erilehtinen;;erillinen
erilehtinen;;yhdistynyt
mehilehti;yläkäsite;lehti
mehilehti;;mehikasvi
lehtijäkälä;yläkäsite;sienitiede
jalot lehtipuut;yläkäsite;kasvityyppi
jalot lehtipuut;yläkäsite;lehtipuu
karstasammalet;yläkäsite;taksoni
karstasammalet;yläkäsite;lehtisammalet
karstasammalet;vieruskäsite;rahkasammalet
karstasammalet;vieruskäsite;aitosammalet
lehtimetsä;yläkäsite;kasvupaikka
lehtimetsä;yläkäsite;metsä
lehtimetsä;vieruskäsite;havumetsä
lehtimetsä;vieruskäsite;kangasmetsä
lehtimetsä;vieruskäsite;sekametsä
maksasammalet;yläkäsite;taksoni
maksasammalet;vieruskäsite;sarvisammalet
maksasammalet;vieruskäsite;lehtisammalet
pohjalehtinen;yläkäsite;kasvityyppi
pohjalehtinen;vieruskäsite;kelluslehtinen
pohjalehtinen;vieruskäsite;uposlehtinen
pohjalehtinen;vieruskäsite;irtokelluja
sarvisammalet;yläkäsite;taksoni
sarvisammalet;vieruskäsite;maksasammalet
sarvisammalet;vieruskäsite;lehtisammalet
vatsalehti;yläkäsite;lehti
vatsalehti;vieruskäsite;kylkilehti
vatsalehti;vieruskäsite;selkälehti
lehtiarpi;koostumussuhteinen yläkäsite;pinta; varsi
kiehkurainen;yläkäsite;lehtiasento
kiehkurainen;vieruskäsite;kierteinen
kiehkurainen;yläkäsite;vastakkainen
kiehkurainen;yläkäsite;säteittäinen
kiehkurainen;;lehtiasento
vastasahainen;yläkäsite;lehtilaita
vastasahainen;yläkäsite;sahalaitainen
vastasahainen;;lehtilaita
kylkilehti;yläkäsite;lehti
kylkilehti;vieruskäsite;vatsalehti
kylkilehti;vieruskäsite;selkälehti
peitinsuomu;yläkäsite;lehti
peitinsuomu;;suomu
nystysahainen;yläkäsite;lehtilaita
nystysahainen;yläkäsite;sahalaitainen
nystysahainen;;lehtilaita
lehtiaukko;koostumussuhteinen yläkäsite;lehti
kynnellinen;yläkäsite;lehti
kynnellinen;;kynsi
pikkuitiöpesäkelehti;yläkäsite;lehti
pikkuitiöpesäkelehti;;itiölehti
sivusuoni;koostumussuhteinen yläkäsite;lehti
sivusuoni;yläkäsite;suoni
sivusuoni;vieruskäsite;keskisuoni
pohjaluku;;kukkalehti
